companyName	Ranking Actual	craftWebsite
Walmart	1	https://craft.co/walmart
Amazon.com	2	https://craft.co/amazon
Exxon Mobil	3	https://craft.co/vsn-mobil
Apple	4	https://craft.co/apple
CVS Health	5	https://craft.co/cvs-health
Berkshire Hathaway	6	https://craft.co/berkshire-hathaway
UnitedHealth Group	7	https://craft.co/unitedhealth
McKesson	8	https://craft.co/mckesson
AT&T	9	https://craft.co/t-t-materials
AmerisourceBergen	10	https://craft.co/amerisourcebergen
Alphabet	11	https://craft.co/alphabet
Ford Motor	12	https://craft.co/ford-motor
Cigna	13	https://craft.co/cigna
Costco Wholesale	14	https://craft.co/costco
Chevron	15	https://craft.co/chevron
Cardinal Health	16	https://craft.co/cardinal-health
JPMorgan Chase	17	https://craft.co/jpmorgan-chase
General Motors	18	https://craft.co/general-motors
Walgreens Boots Alliance	19	https://craft.co/walgreens-boots-alliance
Verizon Communications	20	https://craft.co/verizon
Microsoft	21	https://craft.co/microsoft
Marathon Petroleum	22	https://craft.co/marathon-petroleum
Kroger	23	https://craft.co/kroger
Fannie Mae	24	https://craft.co/fannie-mae
Bank of America	25	https://craft.co/bank-of-america
Home Depot	26	https://craft.co/the-home-depot
Phillips 66	27	https://craft.co/phillips-66
Comcast	28	https://craft.co/comcast
Anthem	29	https://craft.co/anthem
Wells Fargo	30	https://craft.co/wells-fargo
Citigroup	31	https://craft.co/citi
Valero Energy	32	https://craft.co/valero-energy
General Electric	33	https://craft.co/general-electric
Dell Technologies	34	https://craft.co/dell-technologies
Johnson & Johnson	35	https://craft.co/johnson-johnson
State Farm Insurance	36	https://craft.co/state-farm
Target	37	https://craft.co/target
IBM	38	https://craft.co/ibm
Raytheon Technologies	39	https://craft.co/raytheon-technologies
Boeing	40	https://craft.co/boeing
Freddie Mac	41	https://craft.co/freddie-mac
Centene	42	https://craft.co/centene
United Parcel Service	43	https://craft.co/parcel-122
Lowe's	44	https://craft.co/lowes
Intel	45	https://craft.co/intel
Facebook	46	https://craft.co/facebook
FedEx	47	https://craft.co/fedex-corporation
MetLife	48	https://craft.co/metlife
Walt Disney	49	https://craft.co/the-walt-disney
Procter & Gamble	50	https://craft.co/procter-gamble
PepsiCo	51	https://craft.co/pepsico
Humana	52	https://craft.co/humana
Prudential Financial	53	https://craft.co/prudential-financial
Archer Daniels Midland	54	https://craft.co/archer-daniels-midland
Albertsons	55	https://craft.co/albertsons
Sysco	56	https://craft.co/sysco-corporation
Lockheed Martin	57	https://craft.co/lockheed-martin
HP	58	https://craft.co/hp
Energy Transfer	59	https://craft.co/energy-transfer
Goldman Sachs Group	60	https://craft.co/goldman-sachs
Morgan Stanley	61	https://craft.co/morgan-stanley
Caterpillar	62	https://craft.co/caterpillar
Cisco Systems	63	https://craft.co/cisco
Pfizer	64	https://craft.co/pfizer
HCA Healthcare	65	https://craft.co/hca-healthcare
AIG	66	https://craft.co/aig
American Express	67	https://craft.co/american-express
Delta Air Lines	68	https://craft.co/delta-airlines
Merck	69	https://craft.co/merck-%26-co
American Airlines Group	70	https://craft.co/american-airlines
Charter Communications	71	https://craft.co/charter
Allstate	72	https://craft.co/allstate
New York Life Insurance	73	https://craft.co/new-york-life-insurance-company
Nationwide	74	https://craft.co/nationwide
Best Buy	75	https://craft.co/best-buy
United Airlines Holdings	76	https://craft.co/united-airlines
Liberty Mutual Insurance Group	77	https://craft.co/liberty-mutual-insurance
Dow	78	https://craft.co/dow
