,companyName,ranking,craftWebsite,companyWebsite,tags,HQ,employeeNumber,description,dateString
0,Walmart,1,https://craft.co/walmart,walmart.com,"['Retail', 'consumer goods', 'consumer products & services', 'department stores', 'ecommerce', 'electronics', 'supermarkets']","Bentonville, US","2,200,000","Walmart has 2,200,000 employees across 17 locations and $523.96 B in annual revenue in FY 2020. See insights on Walmart including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
1,Amazon.com,2,https://craft.co/amazon,amazon.com,"['Retail', 'Technology', 'cloud', 'consumer electronics', 'consumer goods', 'ecommerce', 'marketplace', 'platform']","Seattle, US","1,125,300","Amazon has 1,125,300 employees across 232 locations and $280.52 B in annual revenue in FY 2019. See insights on Amazon including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
2,Exxon Mobil,3,https://craft.co/vsn-mobil,vsnmobil.com,"['Manufacturing & Industrial', 'consumer electronics', 'distribution', 'wearables']","Fort Lauderdale, FL, US",,"See insights on VSN Mobil including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
3,Apple,4,https://craft.co/apple,apple.com,"['Manufacturing & Industrial', 'Media & Entertainment', 'app development', 'consumer electronics', 'electronics', 'music', 'wearables']","Cupertino, CA, US","147,000","Apple has 147,000 employees across 21 locations and $274.52 B in annual revenue in FY 2020. See insights on Apple including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
4,CVS Health,5,https://craft.co/cvs-health,cvshealth.com,"['Healthcare', 'Retail', 'fitness & wellness', 'health & beauty', 'insurance', 'pharmacy']","Woonsocket, US","290,000","CVS Health has 290,000 employees across 5 locations and $256.78 B in annual revenue in FY 2019. See insights on CVS Health including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
5,Berkshire Hathaway,6,https://craft.co/berkshire-hathaway,berkshirehathaway.com,"['Automotive & Transportation', 'Energy & Utilities', 'Financial Services', 'Manufacturing & Industrial', 'conglomerates', 'distribution', 'energy services', 'freight', 'holding company', 'insurance', 'rail']","Omaha, US","391,500","Berkshire Hathaway has 391,500 employees at their 1 location and $254.62 B in annual revenue in FY 2019. See insights on Berkshire Hathaway including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
6,UnitedHealth Group,7,https://craft.co/unitedhealth,unitedhealthgroup.com,"['Healthcare', 'health & beauty', 'insurance', 'pharmacy', 'senior care']","Hopkins, US","325,000","UnitedHealth Group has 325,000 employees across 3 locations and $242.16 B in annual revenue in FY 2019. See insights on UnitedHealth Group including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
7,McKesson,8,https://craft.co/mckesson,mckesson.com,"['Healthcare', 'Technology', 'healthtech', 'it services', 'medtech', 'pharma', 'pharmacy', 'supply chain management']","Irving, US","60,000","McKesson has 60,000 employees across 10 locations and $231.05 B in annual revenue in FY 2020. See insights on McKesson including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
8,AT&T,9,https://craft.co/t-t-materials,tandt-materials.com,"['Manufacturing & Industrial', 'distribution', 'metal products']","Rochester, NY, US",,"See insights on T & T Materials including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
9,AmerisourceBergen,10,https://craft.co/amerisourcebergen,amerisourcebergen.com,"['Healthcare', 'clinics', 'hospitals', 'pharma', 'supply chain management']","Wayne, US","21,000","AmerisourceBergen has 21,000 employees across 2 locations and $179.59 B in annual revenue in FY 2019. See insights on AmerisourceBergen including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
10,Alphabet,11,https://craft.co/alphabet,abc.xyz,"['Technology', 'application software', 'biotech', 'holding company', 'life sciences', 'search engine']","Mountain View, US","127,498","Alphabet has 127,498 employees at their 1 location and $161.86 B in annual revenue in FY 2019. See insights on Alphabet including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
11,Ford Motor,12,https://craft.co/ford-motor,ford.com,"['Automotive & Transportation', 'auto parts', 'distribution', 'electric vehicles', 'leasing', 'vehicles']","Dearborn, US","190,000","Ford Motor has 190,000 employees across 97 locations and $155.90 B in annual revenue in FY 2019. See insights on Ford Motor including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
12,Cigna,13,https://craft.co/cigna,cigna.com,"['Financial Services', 'insurance', 'life insurance', 'pharmacy']","Bloomfield, US","73,700","Cigna has 73,700 employees across 92 locations and $153.57 B in annual revenue in FY 2019. See insights on Cigna including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
13,Costco Wholesale,14,https://craft.co/costco,costco.com,"['Retail', 'appliances', 'clothing', 'consumer products & services', 'ecommerce', 'electronics', 'groceries']","Issaquah, US","149,000","Costco has 149,000 employees across 19 locations and $166.76 B in annual revenue in FY 2020. See insights on Costco including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
14,Chevron,15,https://craft.co/chevron,chevron.com,"['Energy & Utilities', 'biofuel', 'chemicals', 'drilling', 'electricity', 'exploration & development', 'natural gas', 'oil', 'oil & gas', 'petroleum', 'renewables']","San Ramon, US","44,679","Chevron has 44,679 employees across 35 locations and $146.52 B in annual revenue in FY 2019. See insights on Chevron including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
15,Cardinal Health,16,https://craft.co/cardinal-health,cardinalhealth.com,"['Healthcare', 'Manufacturing & Industrial', 'clinics', 'hospitals', 'medical devices', 'pharmacy']","Dublin, US","48,000","Cardinal Health has 48,000 employees across 368 locations and $152.92 B in annual revenue in FY 2020. See insights on Cardinal Health including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
16,JPMorgan Chase,17,https://craft.co/jpmorgan-chase,jpmorganchase.com,"['Financial Services', 'commercial banks', 'investment banks', 'investment management']","New York, NY, US","256,981","JPMorgan Chase has 256,981 employees across 172 locations and $142.42 B in annual revenue in FY 2019. See insights on JPMorgan Chase including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
17,General Motors,18,https://craft.co/general-motors,gm.com,"['Automotive & Transportation', 'Manufacturing & Industrial', 'auto parts', 'electric vehicles', 'vehicles']","Detroit, US","164,000","General Motors has 164,000 employees across 31 locations and $137.24 B in annual revenue in FY 2019. See insights on General Motors including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
18,Walgreens Boots Alliance,19,https://craft.co/walgreens-boots-alliance,walgreensbootsalliance.com,"['Healthcare', 'Retail', 'consumer products & services', 'distribution', 'ecommerce', 'fitness & wellness', 'pharma', 'supplements']","Deerfield, US","223,000","Walgreens Boots Alliance has 223,000 employees across 3 locations and $139.54 B in annual revenue in FY 2020. See insights on Walgreens Boots Alliance including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
19,Verizon Communications,20,https://craft.co/verizon,verizon.com,"['Mobile & Telecommunications', 'Technology', 'broadband', 'cloud services(SaaS)', 'communication equipment', 'internet of things', 'internet provider', 'mobile provider', 'security', 'telecommunications', 'wireless']","New York, US","135,300","Verizon has 135,300 employees across 148 locations and $131.87 B in annual revenue in FY 2019. See insights on Verizon including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
20,Microsoft,21,https://craft.co/microsoft,microsoft.com,"['Technology', 'application software', 'artificial intelligence', 'cloud', 'consumer software', 'developer tools', 'enterprise software', 'games', 'internet of things', 'social networks']","Redmond, US","163,000","Microsoft has 163,000 employees across 150 locations and $143.02 B in annual revenue in FY 2020. See insights on Microsoft including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
21,Marathon Petroleum,22,https://craft.co/marathon-petroleum,marathonpetroleum.com,"['Energy & Utilities', 'distribution', 'oil', 'petroleum', 'refinery']","Findlay, US","60,350","Marathon Petroleum has 60,350 employees across 18 locations and $123.95 B in annual revenue in FY 2019. See insights on Marathon Petroleum including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
22,Kroger,23,https://craft.co/kroger,thekrogerco.com,"['Food & Beverage', 'Retail', 'consumer goods', 'department stores', 'groceries', 'jewellery', 'supermarkets']","Cincinnati, OH, US","435,000","Kroger has 435,000 employees across 20 locations and $122.29 B in annual revenue in FY 2019. See insights on Kroger including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
23,Fannie Mae,24,https://craft.co/fannie-mae,fanniemae.com,"['Financial Services', 'mortgages', 'residential real estate']","Washington, US","7,500","Fannie Mae has 7,500 employees across 13 locations and $22.14 B in annual revenue in FY 2019. See insights on Fannie Mae including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
24,Bank of America,25,https://craft.co/bank-of-america,bankofamerica.com,"['Financial Services', 'banks', 'brokerage', 'financial management', 'investment management', 'mortgages']","Charlotte, US","208,000","Bank of America has 208,000 employees across 58 locations and $91.24 B in annual revenue in FY 2019. See insights on Bank of America including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
