,companyName,Ranking Actual,craftWebsite,imgUrl
0,Walmart,1,https://craft.co/walmart,https://uploads3.craft.co/uploads/company/logo/119xx/11960/normal_25dead85d2e1d66e.jpeg
1,Amazon.com,2,https://craft.co/amazon,https://uploads3.craft.co/uploads/company/logo/119xx/11981/normal_1b78c896cc538c2f.png
2,Exxon Mobil,3,https://craft.co/vsn-mobil,https://uploads4.craft.co/uploads/company/logo/2389xx/238967/normal_0dfcab8faaa53785.jpg
3,Apple,4,https://craft.co/apple,https://uploads4.craft.co/uploads/company/logo/2xx/280/normal_78ad537b0a1ff0de.jpg
4,CVS Health,5,https://craft.co/cvs-health,https://uploads2.craft.co/uploads/company/logo/110xx/11040/normal_0b3379306820ec10.png
5,Berkshire Hathaway,6,https://craft.co/berkshire-hathaway,https://uploads1.craft.co/uploads/company/logo/1165xx/116553/normal_69d86f161b3e6035.png
6,UnitedHealth Group,7,https://craft.co/unitedhealth,https://uploads1.craft.co/uploads/company/logo/20xx/2072/normal_97b8e8911aff5b42.jpg
7,McKesson,8,https://craft.co/mckesson,https://uploads1.craft.co/uploads/company/logo/13xx/1334/normal_3bf5a1747157a127.jpeg
8,AT&T,9,https://craft.co/t-t-materials,https://uploads3.craft.co/uploads/company/logo/15372xx/1537269/normal_2adc2037c1c431bf.png
9,AmerisourceBergen,10,https://craft.co/amerisourcebergen,https://uploads1.craft.co/uploads/company/logo/106xx/10672/normal_AAEAAQAAAAAAAAQvAAAAJDdiZGNmZjQyLTM4M2ItNGZlOS05MTAxLWE2ZTc4NGNlNDA4Yw.png
10,Alphabet,11,https://craft.co/alphabet,https://uploads1.craft.co/uploads/company/logo/2492xx/249276/normal_706debab96edfebe.jpg
11,Ford Motor,12,https://craft.co/ford-motor,https://uploads2.craft.co/uploads/company/logo/18xx/1820/normal_7f48b82de40d1ba9.png
12,Cigna,13,https://craft.co/cigna,https://uploads3.craft.co/uploads/company/logo/20xx/2054/normal_f1f002cd5832db9c.jpg
13,Costco Wholesale,14,https://craft.co/costco,https://uploads3.craft.co/uploads/company/logo/859xx/85925/normal_84c998ad97414963.png
14,Chevron,15,https://craft.co/chevron,https://uploads2.craft.co/uploads/company/logo/103xx/10393/normal_7e9cc5a0447a5a23.png
15,Cardinal Health,16,https://craft.co/cardinal-health,https://uploads3.craft.co/uploads/company/logo/20xx/2051/normal_1096e983e9d619c1116e9e1022dcbf1e.png
16,JPMorgan Chase,17,https://craft.co/jpmorgan-chase,https://uploads3.craft.co/uploads/company/logo/6xx/665/normal_11150c6649204d3b.png
17,General Motors,18,https://craft.co/general-motors,https://uploads4.craft.co/uploads/company/logo/18xx/1824/normal_59e39deab3555846.png
18,Walgreens Boots Alliance,19,https://craft.co/walgreens-boots-alliance,https://uploads5.craft.co/uploads/company/logo/133xx/13332/normal_89a8d77c0c400ced.png
19,Verizon Communications,20,https://craft.co/verizon,https://uploads5.craft.co/uploads/company/logo/175xx/17545/normal_99bfd137cc627149.jpeg
20,Microsoft,21,https://craft.co/microsoft,https://uploads5.craft.co/uploads/company/logo/18xx/1803/normal_97088564fe559131.jpg
21,Marathon Petroleum,22,https://craft.co/marathon-petroleum,https://uploads4.craft.co/uploads/company/logo/115xx/11533/normal_4dd4bd5209f81bf3.png
22,Kroger,23,https://craft.co/kroger,https://uploads1.craft.co/uploads/company/logo/111xx/11101/normal_c9cc03fcee5617fc.jpg
23,Fannie Mae,24,https://craft.co/fannie-mae,https://uploads4.craft.co/uploads/company/logo/1107xx/110720/normal_f10c31f6b6b05985.jpg
24,Bank of America,25,https://craft.co/bank-of-america,https://uploads5.craft.co/uploads/company/logo/6xx/663/normal_e4b4a9e418d3b82e.png
25,Home Depot,26,https://craft.co/the-home-depot,https://uploads4.craft.co/uploads/company/logo/110xx/11091/normal_3bca7e0ad9ed430c.jpg
26,Phillips 66,27,https://craft.co/phillips-66,https://uploads1.craft.co/uploads/company/logo/2104xx/210442/normal_35e9bfe1728bcdee.jpg
27,Comcast,28,https://craft.co/comcast,https://uploads5.craft.co/uploads/company/logo/2xx/255/normal_4770083b30a48c868084678343ba534f.jpeg
28,Anthem,29,https://craft.co/anthem,https://uploads4.craft.co/uploads/company/logo/104xx/10471/normal_e308f06f3aef0f48.jpeg
29,Wells Fargo,30,https://craft.co/wells-fargo,https://uploads5.craft.co/uploads/company/logo/6xx/664/normal_80df5b861f684fce.jpg
30,Citigroup,31,https://craft.co/citi,https://uploads1.craft.co/uploads/company/logo/6xx/666/normal_CitiBlueWave.jpg
31,Valero Energy,32,https://craft.co/valero-energy,https://uploads1.craft.co/uploads/company/logo/118xx/11886/normal_bfe603b7430f90d6.png
32,General Electric,33,https://craft.co/general-electric,
