,companyName,Ranking Actual,craftWebsite,imgUrl
0,Principal Financial,201,https://craft.co/principal-financial-group,https://uploads1.craft.co/uploads/company/logo/556xx/55626/normal_be147f4bad19df06.jpg
1,Ross Stores,202,https://craft.co/ross-stores,https://uploads2.craft.co/uploads/company/logo/1184xx/118496/normal_ross_logo_fb.jpg
2,Colgate-Palmolive,203,https://craft.co/colgate-palmolive,https://uploads2.craft.co/uploads/company/logo/20xx/2056/normal_dgZGn-DI.jpeg
3,American Electric Power,204,https://craft.co/american-electric-power,https://uploads4.craft.co/uploads/company/logo/1150xx/115011/normal_86ed27f1c86de91f.png
4,Nordstrom,205,https://craft.co/nordstrom,https://uploads5.craft.co/uploads/company/logo/19xx/1974/normal_5cfba4aafd0d5ff7.png
5,Jacobs Engineering Group,206,https://craft.co/jacobs,https://uploads2.craft.co/uploads/company/logo/527xx/52766/normal_38f5ddb2a8753e68.png
6,Waste Management,207,https://craft.co/waste-management,https://uploads2.craft.co/uploads/company/logo/200xx/20076/normal_3c16f89ee7a65b06.jpg
7,C.H. Robinson Worldwide,208,https://craft.co/ch-robinson,https://uploads2.craft.co/uploads/company/logo/1274xx/127403/normal_51a1a24c43046056.png
8,PPG Industries,209,https://craft.co/ppg-industries,https://uploads2.craft.co/uploads/company/logo/1205xx/120551/normal_09ab0fc59b78378d.jpg
9,Booking Holdings,210,https://craft.co/booking-holdings,https://uploads1.craft.co/uploads/company/logo/19xx/1917/normal_c8742248a9919dc5.jpg
10,Omnicom Group,211,https://craft.co/omnicom,https://uploads2.craft.co/uploads/company/logo/18xx/1849/normal_b2ae4a0f88cdd2d1.png
11,Loews,212,https://craft.co/loews-corporation,https://uploads1.craft.co/uploads/company/logo/117xx/11731/normal_aaf2328c5369a9cd.png
12,Ecolab,213,https://craft.co/ecolab,https://uploads1.craft.co/uploads/company/logo/18xx/1817/normal_410b034eb3cd52a0.png
13,Stryker,214,https://craft.co/stryker,https://uploads5.craft.co/uploads/company/logo/20xx/2071/normal_bd5b85f8a3ef9a15.png
14,Estee Lauder,215,https://craft.co/estee-lauder,https://uploads1.craft.co/uploads/company/logo/13623xx/1362374/normal_759dad82bb7036b2.jpg
15,Goodyear Tire & Rubber,216,https://craft.co/the-goodyear-tire-rubber-company,https://uploads3.craft.co/uploads/company/logo/133xx/13310/normal_de6851c93cc979cf.jpg
16,Truist Financial,217,https://craft.co/truist,https://uploads4.craft.co/uploads/company/logo/9698xx/969862/normal_fc6b745b887f4504.PNG
17,Applied Materials,218,https://craft.co/applied-materials,https://uploads5.craft.co/uploads/company/logo/1368xx/136839/normal_e6a5c00b36cca007.png
18,BlackRock,219,https://craft.co/blackrock,https://uploads3.craft.co/uploads/company/logo/1935xx/193557/normal_e3933ff893376f69.jpg
