,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
0,Walmart,1,https://craft.co/walmart,https://uploads3.craft.co/uploads/company/logo/119xx/11960/normal_25dead85d2e1d66e.jpeg,"[((4, 30, 65), 12902), ((255, 192, 34), 933), ((46, 45, 25), 234), ((255, 246, 126), 192), ((174, 163, 99), 138), ((249, 250, 206), 1)]",6
1,Amazon.com,2,https://craft.co/amazon,https://uploads3.craft.co/uploads/company/logo/119xx/11981/normal_1b78c896cc538c2f.png,"[((35, 47, 62), 13655), ((248, 152, 28), 634), ((142, 100, 45), 111)]",3
2,Exxon Mobil,3,https://craft.co/vsn-mobil,https://uploads4.craft.co/uploads/company/logo/2389xx/238967/normal_0dfcab8faaa53785.jpg,"[((221, 170, 1), 13553), ((255, 254, 245), 710), ((218, 203, 120), 137)]",3
3,Apple,4,https://craft.co/apple,https://uploads4.craft.co/uploads/company/logo/2xx/280/normal_78ad537b0a1ff0de.jpg,"[((0, 0, 0), 12856), ((255, 255, 255), 1500), ((90, 90, 90), 44)]",3
4,CVS Health,5,https://craft.co/cvs-health,https://uploads2.craft.co/uploads/company/logo/110xx/11040/normal_0b3379306820ec10.png,"[((255, 255, 255), 12237), ((204, 0, 0), 1244), ((54, 54, 54), 711), ((224, 104, 104), 138), ((132, 132, 132), 68), ((235, 174, 174), 2)]",6
5,Berkshire Hathaway,6,https://craft.co/berkshire-hathaway,https://uploads1.craft.co/uploads/company/logo/1165xx/116553/normal_69d86f161b3e6035.png,"[((255, 255, 255), 14033), ((98, 99, 167), 314), ((169, 170, 210), 29), ((0, 0, 89), 24)]",4
6,UnitedHealth Group,7,https://craft.co/unitedhealth,https://uploads1.craft.co/uploads/company/logo/20xx/2072/normal_97b8e8911aff5b42.jpg,"[((0, 60, 114), 3305), ((255, 255, 255), 240), ((114, 143, 173), 55)]",3
7,McKesson,8,https://craft.co/mckesson,https://uploads1.craft.co/uploads/company/logo/13xx/1334/normal_3bf5a1747157a127.jpeg,"[((2, 110, 159), 3120), ((255, 255, 255), 404), ((255, 151, 0), 32), ((91, 125, 101), 23), ((133, 184, 203), 18), ((155, 135, 66), 3)]",6
8,AT&T,9,https://craft.co/t-t-materials,https://uploads3.craft.co/uploads/company/logo/15372xx/1537269/normal_2adc2037c1c431bf.png,"[((255, 255, 255), 3233), ((199, 55, 55), 2049), ((34, 79, 169), 442), ((224, 146, 146), 296), ((120, 147, 205), 75)]",5
9,AmerisourceBergen,10,https://craft.co/amerisourcebergen,https://uploads1.craft.co/uploads/company/logo/106xx/10672/normal_AAEAAQAAAAAAAAQvAAAAJDdiZGNmZjQyLTM4M2ItNGZlOS05MTAxLWE2ZTc4NGNlNDA4Yw.png,"[((0, 83, 155), 5875), ((255, 255, 255), 464), ((141, 178, 210), 61)]",3
10,Alphabet,11,https://craft.co/alphabet,https://uploads1.craft.co/uploads/company/logo/2492xx/249276/normal_706debab96edfebe.jpg,"[((255, 255, 255), 13632), ((167, 42, 48), 571), ((193, 117, 119), 197)]",3
11,Ford Motor,12,https://craft.co/ford-motor,https://uploads2.craft.co/uploads/company/logo/18xx/1820/normal_7f48b82de40d1ba9.png,"[((255, 255, 255), 11909), ((0, 64, 104), 2287), ((110, 139, 163), 203)]",3
12,Cigna,13,https://craft.co/cigna,https://uploads3.craft.co/uploads/company/logo/20xx/2054/normal_f1f002cd5832db9c.jpg,"[((255, 255, 255), 13120), ((0, 111, 192), 695), ((66, 179, 63), 379), ((163, 187, 231), 79), ((167, 231, 171), 70), ((246, 150, 102), 34), ((0, 63, 177), 21), ((246, 121, 11), 1), ((181, 157, 255), 1)]",9
13,Costco Wholesale,14,https://craft.co/costco,https://uploads3.craft.co/uploads/company/logo/859xx/85925/normal_84c998ad97414963.png,"[((255, 255, 255), 12635), ((229, 29, 57), 1092), ((54, 113, 178), 467), ((233, 138, 147), 120), ((0, 13, 127), 79), ((140, 180, 205), 6)]",6
14,Chevron,15,https://craft.co/chevron,https://uploads2.craft.co/uploads/company/logo/103xx/10393/normal_7e9cc5a0447a5a23.png,"[((255, 255, 255), 10888), ((0, 157, 217), 1800), ((225, 23, 54), 1460), ((1, 91, 172), 170), ((171, 58, 87), 81), ((242, 154, 165), 1)]",6
15,Cardinal Health,16,https://craft.co/cardinal-health,https://uploads3.craft.co/uploads/company/logo/20xx/2051/normal_1096e983e9d619c1116e9e1022dcbf1e.png,"[((219, 30, 51), 5655), ((255, 255, 255), 481), ((234, 126, 138), 264)]",3
16,JPMorgan Chase,17,https://craft.co/jpmorgan-chase,https://uploads3.craft.co/uploads/company/logo/6xx/665/normal_11150c6649204d3b.png,"[((47, 47, 47), 12883), ((255, 255, 255), 1250), ((160, 159, 156), 266)]",3
17,General Motors,18,https://craft.co/general-motors,https://uploads4.craft.co/uploads/company/logo/18xx/1824/normal_59e39deab3555846.png,"[((255, 255, 255), 9215), ((117, 126, 150), 4826), ((22, 49, 100), 355)]",3
18,Walgreens Boots Alliance,19,https://craft.co/walgreens-boots-alliance,https://uploads5.craft.co/uploads/company/logo/133xx/13332/normal_89a8d77c0c400ced.png,"[((255, 255, 255), 5963), ((87, 94, 135), 252), ((169, 207, 109), 75), ((51, 178, 162), 58), ((67, 165, 223), 51), ((14, 24, 83), 1)]",6
19,Verizon Communications,20,https://craft.co/verizon,https://uploads5.craft.co/uploads/company/logo/175xx/17545/normal_99bfd137cc627149.jpeg,"[((255, 255, 255), 13333), ((1, 1, 1), 993), ((128, 128, 128), 74)]",3
20,Microsoft,21,https://craft.co/microsoft,https://uploads5.craft.co/uploads/company/logo/18xx/1803/normal_97088564fe559131.jpg,"[((255, 255, 255), 7913), ((1, 164, 239), 1639), ((242, 80, 34), 1600), ((255, 185, 1), 1599), ((127, 186, 0), 1599), ((253, 218, 128), 50)]",6
21,Marathon Petroleum,22,https://craft.co/marathon-petroleum,https://uploads4.craft.co/uploads/company/logo/115xx/11533/normal_4dd4bd5209f81bf3.png,"[((255, 255, 255), 3227), ((237, 27, 82), 165), ((11, 99, 173), 153), ((137, 177, 214), 28), ((248, 131, 161), 27)]",5
22,Kroger,23,https://craft.co/kroger,https://uploads1.craft.co/uploads/company/logo/111xx/11101/normal_c9cc03fcee5617fc.jpg,"[((255, 255, 255), 12944), ((7, 61, 147), 1250), ((70, 106, 154), 199), ((134, 179, 200), 6), ((0, 8, 141), 1)]",5
