,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
0,Principal Financial,201,https://craft.co/principal-financial-group,https://uploads1.craft.co/uploads/company/logo/556xx/55626/normal_be147f4bad19df06.jpg,"[((255, 255, 255), 12041), ((1, 125, 195), 1500), ((65, 65, 65), 442), ((15, 183, 209), 237), ((154, 154, 154), 180)]",5
1,Ross Stores,202,https://craft.co/ross-stores,https://uploads2.craft.co/uploads/company/logo/1184xx/118496/normal_ross_logo_fb.jpg,"[((255, 255, 255), 5324), ((17, 129, 195), 1041), ((146, 219, 255), 33), ((112, 135, 143), 2)]",4
2,Colgate-Palmolive,203,https://craft.co/colgate-palmolive,https://uploads2.craft.co/uploads/company/logo/20xx/2056/normal_dgZGn-DI.jpeg,"[((255, 255, 255), 3930), ((0, 121, 194), 2448), ((144, 194, 227), 22)]",3
3,American Electric Power,204,https://craft.co/american-electric-power,https://uploads4.craft.co/uploads/company/logo/1150xx/115011/normal_86ed27f1c86de91f.png,"[((255, 255, 255), 13065), ((93, 95, 93), 901), ((227, 54, 54), 284), ((243, 175, 176), 148), ((0, 0, 0), 2)]",5
4,Nordstrom,205,https://craft.co/nordstrom,https://uploads5.craft.co/uploads/company/logo/19xx/1974/normal_5cfba4aafd0d5ff7.png,"[((255, 255, 255), 12658), ((0, 0, 0), 1599), ((84, 84, 84), 143)]",3
5,Jacobs Engineering Group,206,https://craft.co/jacobs,https://uploads2.craft.co/uploads/company/logo/527xx/52766/normal_38f5ddb2a8753e68.png,"[((0, 0, 0), 13333), ((255, 255, 255), 1004), ((154, 154, 154), 63)]",3
6,Waste Management,207,https://craft.co/waste-management,https://uploads2.craft.co/uploads/company/logo/200xx/20076/normal_3c16f89ee7a65b06.jpg,"[((255, 255, 255), 3129), ((1, 108, 66), 228), ((246, 189, 14), 192), ((144, 187, 170), 35), ((245, 219, 126), 13), ((138, 151, 37), 3)]",6
7,C.H. Robinson Worldwide,208,https://craft.co/ch-robinson,https://uploads2.craft.co/uploads/company/logo/1274xx/127403/normal_51a1a24c43046056.png,"[((14, 31, 47), 3179), ((0, 178, 245), 412), ((6, 100, 140), 9)]",3
8,PPG Industries,209,https://craft.co/ppg-industries,https://uploads2.craft.co/uploads/company/logo/1205xx/120551/normal_09ab0fc59b78378d.jpg,"[((255, 255, 255), 9964), ((0, 120, 170), 4384), ((138, 165, 174), 51), ((2, 29, 40), 1)]",4
9,Booking Holdings,210,https://craft.co/booking-holdings,https://uploads1.craft.co/uploads/company/logo/19xx/1917/normal_c8742248a9919dc5.jpg,"[((255, 255, 255), 13789), ((85, 85, 85), 397), ((154, 167, 176), 177), ((50, 82, 143), 19), ((0, 0, 0), 18)]",5
10,Omnicom Group,211,https://craft.co/omnicom,https://uploads2.craft.co/uploads/company/logo/18xx/1849/normal_b2ae4a0f88cdd2d1.png,"[((2, 143, 181), 13630), ((255, 255, 255), 769)]",2
11,Loews,212,https://craft.co/loews-corporation,https://uploads1.craft.co/uploads/company/logo/117xx/11731/normal_aaf2328c5369a9cd.png,"[((255, 255, 255), 1849), ((99, 145, 192), 313)]",2
12,Ecolab,213,https://craft.co/ecolab,https://uploads1.craft.co/uploads/company/logo/18xx/1817/normal_410b034eb3cd52a0.png,"[((255, 255, 255), 13097), ((1, 122, 201), 1255), ((131, 190, 229), 47)]",3
13,Stryker,214,https://craft.co/stryker,https://uploads5.craft.co/uploads/company/logo/20xx/2071/normal_bd5b85f8a3ef9a15.png,"[((255, 255, 255), 13670), ((0, 0, 0), 551), ((128, 128, 128), 179)]",3
14,Estee Lauder,215,https://craft.co/estee-lauder,https://uploads1.craft.co/uploads/company/logo/13623xx/1362374/normal_759dad82bb7036b2.jpg,"[((17, 10, 44), 13305), ((255, 254, 255), 595), ((101, 100, 105), 500)]",3
15,Goodyear Tire & Rubber,216,https://craft.co/the-goodyear-tire-rubber-company,https://uploads3.craft.co/uploads/company/logo/133xx/13310/normal_de6851c93cc979cf.jpg,"[((20, 29, 94), 3158), ((254, 255, 31), 269), ((73, 78, 82), 88), ((144, 146, 62), 85)]",4
16,Truist Financial,217,https://craft.co/truist,https://uploads4.craft.co/uploads/company/logo/9698xx/969862/normal_fc6b745b887f4504.PNG,"[((46, 26, 71), 12680), ((255, 255, 255), 1460), ((115, 104, 133), 260)]",3
17,Applied Materials,218,https://craft.co/applied-materials,https://uploads5.craft.co/uploads/company/logo/1368xx/136839/normal_e6a5c00b36cca007.png,"[((255, 255, 255), 3119), ((83, 153, 189), 481)]",2
18,BlackRock,219,https://craft.co/blackrock,https://uploads3.craft.co/uploads/company/logo/1935xx/193557/normal_e3933ff893376f69.jpg,"[((0, 0, 0), 13478), ((255, 255, 255), 732), ((76, 76, 76), 174), ((156, 156, 156), 16)]",4
19,Stanley Black & Decker,220,https://craft.co/stanley-black-decker,https://uploads4.craft.co/uploads/company/logo/18xx/1840/normal_07cd086956b0e59c.png,"[((255, 210, 13), 3129), ((0, 0, 7), 243), ((67, 55, 14), 139), ((136, 112, 17), 89)]",4
20,Freeport-McMoRan,221,https://craft.co/freeport-mcmoran,https://uploads5.craft.co/uploads/company/logo/106xx/10643/normal_f9bbbe41b154b031.jpg,"[((255, 255, 255), 8494), ((0, 0, 0), 3920), ((0, 172, 212), 1839), ((129, 129, 129), 129), ((8, 70, 85), 18)]",5
21,Texas Instruments,222,https://craft.co/texas-instruments,https://uploads4.craft.co/uploads/company/logo/185xx/18567/normal_9ffda48ab0e7da6f.jpeg,"[((237, 27, 36), 10435), ((254, 254, 254), 3487), ((199, 74, 78), 404), ((190, 141, 144), 74)]",4
22,Biogen,223,https://craft.co/biogen,https://uploads1.craft.co/uploads/company/logo/2513xx/251331/normal_ad1c910ee671ff70.jpeg,"[((255, 255, 255), 13675), ((110, 157, 187), 651), ((132, 159, 124), 65), ((12, 115, 192), 5), ((226, 240, 165), 2), ((10, 54, 65), 2)]",6
23,Parker-Hannifin,224,https://craft.co/parker-hannifin,https://uploads3.craft.co/uploads/company/logo/113xx/11352/normal_42078bf8eb7929b4.jpg,"[((255, 180, 29), 11062), ((0, 0, 0), 2017), ((255, 255, 255), 804), ((80, 67, 15), 225), ((255, 237, 43), 153), ((104, 104, 104), 139)]",6
24,Reinsurance Group of America,225,https://craft.co/reinsurance-group-of-america,https://uploads4.craft.co/uploads/company/logo/1158xx/115889/normal_570da5809751d0ab.jpg,"[((255, 255, 255), 11877), ((228, 27, 33), 2101), ((168, 64, 63), 296), ((246, 165, 164), 126)]",4
25,Howmet Aerospace,226,https://craft.co/howmet-aerospace,https://uploads4.craft.co/uploads/company/logo/2586xx/258652/normal_453e4e62891e2e8d.png,"[((255, 255, 255), 10437), ((35, 31, 32), 2273), ((0, 171, 199), 1457), ((134, 132, 133), 232)]",4
26,Automatic Data Processing,227,https://craft.co/adp,https://uploads2.craft.co/uploads/company/logo/18xx/1853/normal_1bb3b3bed6738a0b.png,"[((207, 39, 30), 12691), ((255, 255, 255), 1453), ((228, 127, 123), 255)]",3
27,Uber Technologies,228,https://craft.co/uber,https://uploads2.craft.co/uploads/company/logo/3xx/334/normal_e4b5bc459f3283e1.png,"[((0, 0, 0), 13207), ((255, 255, 255), 997), ((96, 96, 96), 196)]",3
28,Illinois Tool Works,229,https://craft.co/illinois-tool-works,https://uploads2.craft.co/uploads/company/logo/1140xx/114060/normal_e6e9bcafee6adb72.png,"[((255, 255, 255), 12897), ((143, 0, 28), 1221), ((203, 140, 151), 281)]",3
29,DaVita,230,https://craft.co/davita,https://uploads3.craft.co/uploads/company/logo/2064xx/206423/normal_da16111bf62d272f.png,"[((255, 255, 255), 13535), ((0, 104, 175), 735), ((134, 186, 219), 62), ((253, 172, 1), 39), ((254, 224, 162), 25), ((0, 50, 145), 3)]",6
30,Discover Financial Services,231,https://craft.co/discover-financial-services,https://uploads2.craft.co/uploads/company/logo/562xx/56259/normal_2e7c0f2500bbdb87.png,"[((255, 255, 255), 3269), ((36, 32, 33), 173), ((139, 137, 137), 83), ((231, 92, 23), 62), ((215, 129, 90), 11), ((248, 163, 56), 2)]",6
31,Land O'Lakes,232,https://craft.co/land-o-lakes,https://uploads3.craft.co/uploads/company/logo/2540xx/254000/normal_52f9ab151cf74846.jpg,"[((255, 255, 255), 12371), ((0, 170, 180), 2028), ((10, 78, 77), 1)]",3
32,VF,233,https://craft.co/vf-corporation,https://uploads3.craft.co/uploads/company/logo/15xx/1590/normal_edabd4b96ef87996.jpeg,"[((14, 78, 152), 8421), ((255, 255, 255), 5756), ((106, 125, 155), 221), ((0, 6, 23), 2)]",4
33,Corteva,234,https://craft.co/corteva,https://uploads4.craft.co/uploads/company/logo/14057xx/1405763/normal_0c6a8ea985af0ddb.jpg,"[((255, 255, 255), 12644), ((6, 106, 200), 982), ((0, 0, 0), 551), ((82, 82, 82), 144), ((56, 119, 162), 74), ((165, 165, 165), 5)]",6
34,Las Vegas Sands,235,https://craft.co/las-vegas-sands,https://uploads1.craft.co/uploads/company/logo/19xx/1944/normal_49c602380c3c38a3.jpg,"[((30, 22, 69), 13438), ((207, 181, 156), 589), ((65, 55, 56), 368), ((160, 132, 172), 4), ((129, 100, 32), 1)]",5
35,Textron,236,https://craft.co/textron,https://uploads2.craft.co/uploads/company/logo/1146xx/114631/normal_7e86b2c3682ee0f8.jpg,"[((255, 255, 255), 13425), ((0, 78, 150), 887), ((86, 136, 173), 86), ((1, 8, 54), 2)]",4
36,Kellogg,237,https://craft.co/kellogg,https://uploads3.craft.co/uploads/company/logo/20xx/2032/normal_a6cd60b491b09556.jpg,"[((211, 19, 70), 3340), ((255, 255, 255), 178), ((226, 138, 160), 82)]",3
37,Guardian Life Ins. Co. of America,238,https://craft.co/guardian-life,https://uploads4.craft.co/uploads/company/logo/2562xx/256250/normal_e92f68532bb1e06b.png,"[((255, 255, 255), 10667), ((0, 142, 177), 1873), ((3, 167, 101), 1842), ((135, 213, 182), 17)]",4
38,Qurate Retail,239,https://craft.co/qurate-retail-group,https://uploads2.craft.co/uploads/company/logo/2054xx/205473/normal_2c910a01755da742.png,"[((255, 255, 255), 12886), ((185, 63, 182), 689), ((214, 147, 213), 108)]",3
39,Core-Mark Holding,240,https://craft.co/core-mark-holding-company,https://uploads1.craft.co/uploads/company/logo/123xx/12344/normal_9a12c0a9892472bc.jpg,"[((255, 255, 255), 2684), ((203, 227, 165), 313), ((62, 170, 71), 284), ((253, 194, 100), 205), ((244, 108, 20), 113), ((251, 194, 164), 1)]",6
40,Community Health Systems,241,https://craft.co/community-health-systems,https://uploads1.craft.co/uploads/company/logo/104xx/10402/normal_0f4a14cc2350a2b9bef4f117469b1e66.png,"[((0, 108, 104), 797)]",1
41,Kinder Morgan,242,https://craft.co/kinder-morgan,https://uploads3.craft.co/uploads/company/logo/112xx/11204/normal_bb2f6cb3ead10d89.png,"[((255, 255, 255), 5778), ((247, 178, 175), 252), ((238, 91, 80), 236), ((42, 40, 41), 106), ((122, 122, 123), 27), ((142, 63, 60), 1)]",6
42,BJ's Wholesale Club,243,https://craft.co/bj-s-wholesale-club,https://uploads1.craft.co/uploads/company/logo/13611xx/1361155/normal_d682501fd8e24a1c.jpg,"[((255, 255, 255), 12413), ((199, 0, 31), 1628), ((213, 123, 125), 355), ((220, 52, 104), 3), ((154, 167, 147), 1)]",5
43,State Street,244,https://craft.co/state-street-corporation,https://uploads4.craft.co/uploads/company/logo/440xx/44045/normal_98335d8948ffea1a.jpg,"[((255, 255, 255), 3088), ((126, 149, 181), 474), ((14, 73, 129), 38)]",3
44,Ameriprise Financial,245,https://craft.co/ameriprise-financial,https://uploads5.craft.co/uploads/company/logo/725xx/72502/normal_a33f38ff51e21a6a.png,"[((255, 255, 255), 1958), ((0, 61, 109), 1509), ((150, 175, 195), 133)]",3
45,Global Partners,246,https://craft.co/global-partners-lp,https://uploads2.craft.co/uploads/company/logo/104xx/10442/normal_359da4f3237b2fc0.jpg,"[((255, 255, 255), 5560), ((0, 102, 168), 444), ((236, 82, 74), 202), ((241, 156, 149), 105), ((137, 189, 213), 89)]",5
46,United States Steel,247,https://craft.co/united-states-steel-corporation,https://uploads4.craft.co/uploads/company/logo/1149xx/114908/normal_07dc17645edb13ea.jpg,"[((255, 255, 255), 4077), ((0, 20, 140), 1866), ((162, 176, 205), 267), ((67, 85, 171), 190)]",4
47,L Brands,248,https://craft.co/l-brands,https://uploads4.craft.co/uploads/company/logo/458xx/45896/normal_a9e1f73fd5fb78d3.jpg,"[((1, 55, 101), 13726), ((249, 255, 255), 524), ((115, 126, 146), 139), ((0, 2, 11), 11)]",4
48,MGM Resorts International,249,https://craft.co/mgm-resorts,https://uploads2.craft.co/uploads/company/logo/19xx/1946/normal_7570ab055eb54497.png,"[((170, 124, 54), 9922), ((252, 254, 255), 4473), ((210, 187, 150), 4)]",3
49,L3Harris Technologies,250,https://craft.co/l3harris-technologies,https://uploads4.craft.co/uploads/company/logo/18xx/1893/normal_bf2dd84428e626cf.png,"[((237, 28, 36), 12832), ((255, 255, 255), 1244), ((245, 117, 120), 314), ((247, 181, 183), 10)]",4
50,DISH Network,251,https://craft.co/dish-network,https://uploads4.craft.co/uploads/company/logo/2xx/249/normal_cb0cc24c542384cd.png,"[((255, 255, 255), 2960), ((237, 21, 67), 492), ((249, 178, 193), 133), ((243, 108, 137), 15)]",4
51,Lithia Motors,252,https://craft.co/lithia-motors,https://uploads4.craft.co/uploads/company/logo/112xx/11210/normal_bfcfb7010b53ae6d.png,"[((255, 255, 255), 5631), ((0, 0, 0), 452), ((1, 147, 207), 171), ((124, 124, 124), 146)]",4
52,DTE Energy,253,https://craft.co/dte-energy,https://uploads1.craft.co/uploads/company/logo/105xx/10525/normal_bf2e29176c4a99d6.jpg,"[((29, 53, 117), 12685), ((254, 254, 255), 1533), ((122, 126, 163), 174), ((0, 4, 33), 8)]",4
53,American Family Insurance Group,254,https://craft.co/american-family-insurance,https://uploads1.craft.co/uploads/company/logo/627xx/62790/normal_14aa5bbed459ab39.jpeg,"[((255, 255, 255), 3033), ((126, 168, 180), 357), ((34, 99, 167), 94), ((255, 146, 171), 72), ((165, 38, 68), 43), ((255, 202, 254), 1)]",6
54,Farmers Insurance Exchange,255,https://craft.co/farmers-insurance-group,https://uploads2.craft.co/uploads/company/logo/1520xx/152070/normal_4b423bb771ca86c4.jpg,"[((255, 255, 255), 3261), ((162, 178, 212), 128), ((72, 82, 118), 128), ((243, 161, 175), 45), ((220, 78, 102), 23), ((3, 28, 108), 9), ((252, 19, 64), 4), ((126, 70, 73), 2)]",8
55,Consolidated Edison,256,https://craft.co/con-edison,https://uploads5.craft.co/uploads/company/logo/582xx/58257/normal_f9307efe68f33890.jpg,"[((0, 152, 215), 11863), ((255, 255, 255), 2537)]",2
56,LKQ,257,https://craft.co/lkq,https://uploads2.craft.co/uploads/company/logo/1499xx/149994/normal_0176ca55e3faeed0.jpg,"[((1, 73, 131), 3193), ((240, 255, 255), 302), ((102, 156, 200), 103), ((65, 90, 94), 1), ((0, 98, 208), 1)]",5
57,Sempra Energy,258,https://craft.co/sempra-energy,https://uploads1.craft.co/uploads/company/logo/1719xx/171928/normal_9c9ce97c8c1b3f0f.png,"[((255, 255, 255), 5161), ((224, 20, 76), 971), ((238, 129, 159), 178), ((4, 67, 146), 59), ((132, 163, 202), 31)]",5
58,Edison International,259,https://craft.co/edison-international,https://uploads2.craft.co/uploads/company/logo/2083xx/208355/normal_1d274a713104cd41.png,"[((255, 255, 255), 2411), ((255, 208, 70), 686), ((0, 106, 83), 468), ((255, 234, 172), 34), ((128, 181, 169), 1)]",5
59,CenterPoint Energy,260,https://craft.co/centerpoint-energy,https://uploads3.craft.co/uploads/company/logo/1367xx/136700/normal_b15279756358fec1.jpg,"[((0, 154, 218), 8520), ((255, 255, 255), 5877), ((143, 177, 187), 3)]",3
60,Quanta Services,261,https://craft.co/quanta-services,https://uploads1.craft.co/uploads/company/logo/1560xx/156047/normal_a25edf50ecc0c5fd.png,"[((34, 31, 31), 12478), ((255, 255, 255), 904), ((155, 155, 155), 484), ((178, 96, 0), 411), ((253, 190, 113), 98), ((100, 50, 4), 24)]",6
61,Murphy USA,262,https://craft.co/murphy-usa,https://uploads4.craft.co/uploads/company/logo/114xx/11442/normal_47dd22f563997a22.png,"[((255, 255, 255), 5538), ((65, 113, 177), 611), ((127, 124, 131), 185), ((211, 128, 144), 22), ((201, 67, 64), 20), ((155, 210, 255), 18), ((243, 68, 25), 3), ((29, 39, 75), 1), ((144, 183, 152), 1), ((112, 43, 72), 1)]",10
62,Expedia Group,263,https://craft.co/expedia-group,https://uploads4.craft.co/uploads/company/logo/19xx/1913/normal_7d345b7916779e84.png,"[((1, 0, 154), 11835), ((255, 255, 255), 2083), ((54, 54, 153), 359), ((143, 143, 191), 123)]",4
63,Group 1 Automotive,264,https://craft.co/group-1-automotive,https://uploads2.craft.co/uploads/company/logo/446xx/44612/normal_8244a6d273595f5c.png,"[((255, 255, 255), 2981), ((29, 25, 26), 312), ((142, 139, 139), 220), ((222, 48, 49), 60), ((240, 148, 148), 20), ((98, 19, 20), 7)]",6
64,Bed Bath & Beyond,265,https://craft.co/bed-bath-beyond,https://uploads3.craft.co/uploads/company/logo/1941xx/194176/normal_04715dc542bad6d0.jpg,"[((26, 78, 138), 12815), ((251, 255, 255), 1370), ((115, 124, 141), 170), ((0, 0, 0), 45)]",4
65,Unum Group,266,https://craft.co/unum,https://uploads5.craft.co/uploads/company/logo/119xx/11911/normal_99ea2e3996342fa9.jpeg,"[((255, 255, 255), 12917), ((8, 69, 124), 1254), ((92, 137, 166), 228), ((0, 8, 32), 1)]",4
66,CSX,267,https://craft.co/csx,https://uploads1.craft.co/uploads/company/logo/1354xx/135447/normal_e992524bbfb0d11c.jpg,"[((10, 16, 100), 12199), ((254, 254, 255), 1765), ((54, 54, 90), 353), ((128, 129, 149), 82), ((0, 0, 5), 1)]",5
67,AutoZone,268,https://craft.co/autozone,https://uploads4.craft.co/uploads/company/logo/1049xx/104917/normal_baa74c8ea9afb428.png,"[((255, 255, 255), 2808), ((211, 32, 17), 414), ((226, 158, 153), 194), ((82, 92, 91), 112), ((238, 120, 0), 64), ((246, 181, 113), 8)]",6
68,Pacific Life,269,https://craft.co/pacific-life,https://uploads4.craft.co/uploads/company/logo/2563xx/256311/normal_68a688fc2514d60a.jpg,"[((255, 255, 255), 3125), ((133, 205, 229), 254), ((31, 56, 78), 201), ((2, 111, 180), 18), ((93, 144, 127), 2)]",5
69,Vistra Energy,270,https://craft.co/vistra-energy,https://uploads1.craft.co/uploads/company/logo/14057xx/1405753/normal_8e3c43408d73799e.jpeg,"[((255, 255, 255), 13906), ((37, 57, 68), 329), ((79, 137, 63), 93), ((161, 187, 148), 59), ((126, 133, 141), 12), ((38, 64, 25), 1)]",6
